event_id,timestamp,login_hour,user_id,workspace_id,source_ip,ip_region,user_region,geo_mismatch,impossible_travel,action,success,failed_attempts_last_15m,data_downloaded_mb,is_injected_anomaly,anomaly_type
af2513fe-a278-4a13-ade2-96733b42b47a,2025-10-01 00:00:51,0,USR-0163,WS-013,33.74.241.238,US-East,US-East,False,False,delete,True,0,483.38,False,None
4e3e6eb8-e766-473f-89f4-7471cc6cab5c,2025-10-01 00:02:28,0,USR-0127,WS-006,101.248.234.127,EU-Central,EU-Central,False,False,read,True,0,265.32,False,None
5cee9954-a7b0-46c7-8347-bdfdf8fdffcd,2025-10-01 00:02:51,0,USR-0053,WS-017,45.2.184.199,US-West,US-West,False,False,delete,True,0,489.6,False,None
28d46666-cd28-4d85-ad68-8f0034951375,2025-10-01 00:04:16,0,USR-0001,WS-008,191.159.106.237,EU-Central,EU-Central,False,False,read,False,2,205.19,False,None
7ba39897-4b01-4cbb-b9a6-0802060ede28,2025-10-01 00:15:29,0,USR-0110,WS-001,175.206.51.186,US-East,US-East,False,False,write,True,0,80.71,False,None
ff2c151e-2fc7-4e58-bfde-409aac93c458,2025-10-01 00:16:40,0,USR-0070,WS-009,55.42.72.18,US-West,US-West,False,False,admin,True,0,184.14,False,None
f9ac9836-f474-48df-98ad-0825b9cb08aa,2025-10-01 00:19:10,0,USR-0198,WS-003,99.226.74.113,South-America,South-America,False,False,read,True,0,23.21,False,None
66ff2e1a-c684-4388-9a40-d9ed03770823,2025-10-01 00:23:49,0,USR-0129,WS-011,131.171.186.29,EU-Central,EU-Central,False,False,write,True,0,34.0,False,None
0b453196-8f80-4202-b2d8-fad17001363e,2025-10-01 00:33:14,0,USR-0150,WS-007,210.142.100.6,US-West,US-West,False,False,read,True,0,516.08,False,None
e7a0775e-0028-4eed-942e-ec996236a4ea,2025-10-01 00:33:40,0,USR-0181,WS-008,222.140.134.149,US-East,US-East,False,False,write,True,0,58.45,False,None
874df920-b2e6-4c13-8243-4e943f65c48f,2025-10-01 00:35:37,0,USR-0069,WS-005,182.51.126.196,US-West,US-West,False,False,write,True,0,6.74,False,None
c62762fd-f068-41c7-96fa-fc57f3e487e7,2025-10-01 00:36:09,0,USR-0146,WS-020,154.96.252.139,South-America,South-America,False,False,read,True,0,266.98,True,data_exfiltration
96251d9a-83c0-4c40-9989-4671e2ae72ab,2025-10-01 00:39:42,0,USR-0146,WS-009,107.172.14.127,South-America,South-America,False,False,admin,True,0,24.9,False,None
d765500b-52e4-4aa7-b2db-bf81501a0f75,2025-10-01 00:45:04,0,USR-0064,WS-012,31.137.78.98,Asia-Pacific,Asia-Pacific,False,False,write,True,0,3.26,False,None
a6f1b33b-cef2-40a8-8ddd-228e103460c0,2025-10-01 00:57:23,0,USR-0113,WS-018,203.81.86.83,Asia-Pacific,Asia-Pacific,False,False,read,True,0,2.83,False,None
85ca242a-e0b9-4c0e-a63c-f08d8924dad6,2025-10-01 01:20:11,1,USR-0092,WS-002,13.205.161.4,US-East,US-East,False,False,delete,True,0,110.79,False,None
059ab556-b8ee-48c9-a6eb-6b83437b51ce,2025-10-01 01:28:38,1,USR-0079,WS-020,193.218.85.177,US-West,US-West,False,False,delete,True,0,426.39,True,off_hours
0786ac94-b708-420e-be1c-6a975127a1de,2025-10-01 01:30:59,1,USR-0150,WS-011,77.15.16.87,US-West,US-West,False,False,delete,True,0,523.15,False,None
a19f91df-babf-4b5a-b5d7-5726502a3371,2025-10-01 01:31:06,1,USR-0023,WS-015,126.160.86.240,Asia-Pacific,Asia-Pacific,False,False,admin,True,0,7.96,False,None
d61f2b04-b938-4e7c-a7f7-4d94d7a6119f,2025-10-01 01:37:19,1,USR-0129,WS-005,52.33.23.77,EU-Central,EU-Central,False,False,admin,True,0,36.48,False,None
f1c1257c-52a1-49a7-bd6b-7a14c8255797,2025-10-01 01:50:10,1,USR-0101,WS-019,175.214.200.152,US-West,US-West,False,False,write,True,0,384.06,False,None
fa8bf901-007c-41e0-9df6-c1690fe9b979,2025-10-01 02:10:05,2,USR-0163,WS-016,85.43.193.32,US-East,US-East,False,False,read,True,0,7547.06,True,data_exfiltration
6c99dddc-5590-4b30-bcda-b92bb4a3b43a,2025-10-01 02:13:43,2,USR-0051,WS-005,91.153.155.236,South-America,South-America,False,False,delete,True,0,9.25,False,None
bcb4bd55-0e7e-4c89-b0fd-ba125faa6f69,2025-10-01 02:18:11,2,USR-0051,WS-004,66.134.89.87,South-America,South-America,False,False,write,False,16,7.75,True,brute_force
b4209b09-fc3d-4ae1-b3d9-b498cb4c1488,2025-10-01 02:18:17,2,USR-0031,WS-009,134.224.114.227,Asia-Pacific,Asia-Pacific,False,False,write,True,0,107.76,False,None
9b146202-29b6-40f8-a9d5-1cb1950c3d40,2025-10-01 02:27:17,2,USR-0011,WS-020,152.135.66.42,Asia-Pacific,Asia-Pacific,False,False,admin,False,2,6.64,False,None
a7ee467d-34e5-4e89-98db-2553899360fb,2025-10-01 02:41:23,2,USR-0172,WS-002,122.231.61.64,US-East,US-East,False,False,write,False,1,3.91,False,None
070983e4-1441-45d9-ac9f-e42cf8c4430c,2025-10-01 02:45:06,2,USR-0172,WS-013,132.252.100.33,US-East,US-East,False,False,write,True,0,6.17,False,None
51dbd611-2805-47bf-8662-858f1570a244,2025-10-01 02:46:28,2,USR-0043,WS-008,21.210.186.174,Asia-Pacific,Asia-Pacific,False,False,write,True,0,8.75,False,None
3f92189e-6df3-4b95-9579-af814b8f6961,2025-10-01 02:53:23,2,USR-0163,WS-015,51.189.181.54,US-East,US-East,False,False,admin,True,0,246.65,False,None
4df00d80-5755-4292-a147-66cbb18d46ea,2025-10-01 02:56:13,2,USR-0192,WS-005,57.164.239.59,South-America,South-America,False,False,delete,True,0,7.51,False,None
6d5eb06a-9b69-4903-bf50-fb421bea2385,2025-10-01 02:56:34,2,USR-0175,WS-017,202.136.174.29,Asia-Pacific,Asia-Pacific,False,False,admin,True,0,25.99,False,None
96dda326-2d90-49ef-8c75-b60ecf26def2,2025-10-01 02:58:30,2,USR-0172,WS-001,63.86.1.201,US-East,US-East,False,False,write,True,0,3.06,False,None
4992a23c-2f88-4028-baba-1925304a1064,2025-10-01 03:02:51,3,USR-0146,WS-010,13.127.29.20,EU-Central,South-America,True,False,read,True,0,39.38,False,None
bbff019b-3c70-43ee-9bfd-385be26846ca,2025-10-01 03:02:52,3,USR-0046,WS-003,186.250.13.48,EU-Central,EU-Central,False,False,write,True,0,122.13,False,None
cb747b78-863f-4bff-aaef-71be5c99a555,2025-10-01 03:05:32,3,USR-0183,WS-013,175.88.20.64,South-America,South-America,False,False,delete,True,0,339.96,False,None
9365249e-fbe8-49fd-b86c-e0b965e41581,2025-10-01 03:06:33,3,USR-0113,WS-003,126.7.73.105,Asia-Pacific,Asia-Pacific,False,False,write,True,0,5.7,False,None
0bf2c761-ef55-49b6-ad0a-fb4e53d14e7b,2025-10-01 03:06:43,3,USR-0093,WS-020,104.183.31.102,Asia-Pacific,Asia-Pacific,False,False,admin,True,0,55.39,False,None
95fd43a2-3efa-4ebb-b6c8-caa02d41cc66,2025-10-01 03:09:32,3,USR-0042,WS-020,42.248.234.34,EU-Central,US-West,True,False,read,True,0,93.08,False,None
455fa18c-449f-4938-b633-fe348f31fbf7,2025-10-01 03:10:21,3,USR-0142,WS-007,153.218.236.60,EU-Central,EU-Central,False,False,delete,True,0,239.4,False,None
